engine_id,engine_name,engine_platforms,engines_companies
298,PHP,undefined,undefined
1225,PokeSDK,undefined,undefined
400,LÖVE,undefined,undefined
386,Whale 2,undefined,undefined
388,download,undefined,undefined
392,001,undefined,undefined
1331,Tiger,undefined,undefined
1288,SUGAR,undefined,undefined
423,wpf,undefined,undefined
425,lucha,undefined,undefined
629,Lua,undefined,undefined
671,The Creator Engine,undefined,undefined
672,Voyager Engine,undefined,undefined
675,Thorskan Engine,undefined,undefined
678,Unchained Engine,undefined,undefined
694,nine-gine,undefined,undefined
1304,web,undefined,undefined
739,Quicksilver X Engine,undefined,undefined
740,Touch Video,undefined,undefined
761,proprietary engine [ by Blizzard Entertainment ],undefined,undefined
815,Messiah Engine,undefined,undefined
1062,FIFA International Soccer,undefined,undefined
113,Twilight,undefined,undefined
110,Labyrinth Engine,undefined,undefined
142,AGI,undefined,undefined
160,Autodesk,undefined,undefined
407,Flashpunk,undefined,undefined
150,Onyx Engine,undefined,undefined
183,RAD Engine 4.0,undefined,undefined
409,GameSalad,undefined,undefined
1183,COLDc,undefined,undefined
210,Visceral Engine,undefined,undefined
1157,Dæmon,undefined,undefined
215,ASKA,undefined,undefined
223,Beautiful Voxel,undefined,undefined
1343,Super Mario Bros. S,undefined,undefined
390,Alan Wake engine,undefined,undefined
446,Icarus Platform,undefined,undefined
478,a000ff,undefined,undefined
571,broww,undefined,undefined
536,SCI,undefined,undefined
615,Sensible Soccer,undefined,undefined
756,SeriousProton,undefined,undefined
764,FluffOS,undefined,undefined
362,Foundation Engine,undefined,undefined
1233,MAGE,undefined,undefined
973,Sega ALLS,undefined,undefined
984,Adobe Photoshop,undefined,undefined
985,Logic Pro,undefined,undefined
825,MADNESS Engine,undefined,undefined
1044,Disrupt Engine,undefined,undefined
1070,XRay-Monolith,undefined,undefined
185,Game World Builder,undefined,undefined
232,0gf3. gine,undefined,undefined
249,Forsaken World Engine,undefined,undefined
395,paprastas,undefined,undefined
472,ENIN Engine,undefined,undefined
473,Sketcher Engine,undefined,undefined
485,The Illusion Engine,undefined,undefined
1071,NekoSDK,undefined,undefined
500,Eclipse,undefined,undefined
207,Genie Engine,undefined,undefined
512,Taito FX-1,undefined,undefined
588,OpenGL,undefined,undefined
1263,Oynx Game Solutions,undefined,undefined
522,IRISZOOM,undefined,undefined
521,Blukpast (homebrew),undefined,undefined
534,SCI0,undefined,undefined
975,TIC-80,undefined,undefined
540,War3,undefined,undefined
539,C4 Engine,undefined,undefined
549,Spartan: Total Warrior Engine,undefined,undefined
587,EGO Engine 4.0,undefined,undefined
596,FAudio,undefined,undefined
781,Descent Engine,undefined,undefined
1330,Neptune,undefined,undefined
1045,Eco-Motion Engine,undefined,undefined
820,LithTech Jupiter EX,undefined,undefined
497,Hedgehog Engine,undefined,undefined
31,Adventure Game Studio,undefined,undefined
752,The Alan Wake Engine,undefined,undefined
246,Wolfenstein 3D,undefined,undefined
1188,Glulx,undefined,undefined
1119,Ftech,undefined,undefined
776,Plasma,undefined,undefined
242,Super Star Wars,undefined,undefined
245,Europa,undefined,undefined
680,Cyllista Engine,undefined,undefined
779,InnocentGrey,undefined,undefined
467,BTZ,undefined,undefined
483,Intersect,undefined,undefined
1221,Strikeout,undefined,undefined
775,HyperCard,undefined,undefined
501,Silverback Engine,undefined,undefined
525,SolidEngine,undefined,undefined
530,BackboneJS,undefined,undefined
533,SCGI,undefined,undefined
535,SCI1,undefined,undefined
550,Flash CS6,undefined,undefined
480,XIGNCODE3,6;,undefined
561,Doom Legacy,undefined,undefined
555,Distortion Tools,undefined,undefined
1043,ForzaTech,undefined,undefined
772,Acknex,undefined,undefined
1191,Flambe,undefined,undefined
773,(CN) GameEngine 5,undefined,undefined
780,ExHibit,undefined,undefined
706,NetImmerse,undefined,undefined
141,PainEngine,undefined,undefined
504,Disruptor Engine,undefined,undefined
1046,GGMax,undefined,undefined
1072,A.G.O.N. (Ancient Games Of Nations),undefined,undefined
668,CATHODE Engine,undefined,undefined
742,rpg,undefined,undefined
1336,flexi,undefined,undefined
258,Panta Rhei,undefined,undefined
262,Alchemy,undefined,undefined
281,Phoenix VR,undefined,undefined
401,Numbat Engine,undefined,undefined
474,Brigitte,undefined,undefined
487,Turbine G3,undefined,undefined
562,AtomicEngine,undefined,undefined
563,Ripp3d,undefined,undefined
564,DarkEngine,undefined,undefined
597,Mario Builder,undefined,undefined
599,Geo-Mod 2.0,undefined,undefined
604,12,undefined,undefined
606,OpenMW,undefined,undefined
613,Hiber,undefined,undefined
257,BASIC,undefined,undefined
1352,Fivem,undefined,undefined
1355,Marmalade,undefined,undefined
1292,Forge,undefined,undefined
826,LC-Script Engine,undefined,undefined
830,QLIE,undefined,undefined
1226,egene,undefined,undefined
983,Simple and Fast Multimedia Library,undefined,undefined
84,Custom built engine,undefined,undefined
833,Scratch,undefined,undefined
1246,Custom C Backend,undefined,undefined
1047,RENKEI Engine,undefined,7171;
616,CloudNovel,undefined,undefined
255,Divinity Engine,undefined,undefined
260,Octane Engine,undefined,undefined
382,Phaser,undefined,undefined
332,Atrophy,undefined,undefined
349,Orochi,undefined,undefined
377,LASSIE engine,undefined,undefined
431,kp,undefined,undefined
441,ChoiceScript,undefined,undefined
461,Atari System 2,undefined,undefined
484,AZ (Arika Engine),undefined,undefined
103,Microsoft XNA,undefined,undefined
489,Riot Engine,undefined,undefined
494,Falling Everything Engine,undefined,undefined
527,SDL,undefined,undefined
499,NightShade Engine,undefined,undefined
510,Super Mario Bros. X,undefined,undefined
516,Krome Studios Engine,undefined,undefined
1362,Zoom,undefined,undefined
518,Pinball 2000,undefined,undefined
524,createjs,undefined,undefined
523,Orochi 3,undefined,undefined
506,42,undefined,undefined
1252,AVG32,undefined,undefined
531,KUBOTA/CATERPILLER,undefined,undefined
537,Veronica Engine,undefined,undefined
538,SuperScroller,undefined,undefined
552,Invictus SCX,undefined,undefined
556,GameStudio A8,undefined,undefined
546,AGS,undefined,undefined
333,Horizon,undefined,undefined
1048,Cobra Engine,undefined,undefined
559,GameSparks,undefined,undefined
553,"Custom Engine ""VantEdit""",undefined,undefined
544,NoviceX,undefined,undefined
413,Buildbox,undefined,undefined
598,Sega System 16,undefined,undefined
1289,Trerarch NGL,undefined,undefined
768,Doom RPG,undefined,undefined
1347,RocketFuel,undefined,undefined
541,DarkBASIC Pro,undefined,undefined
486,FLEDGE Engine,undefined,undefined
254,AGDS (Advanced Graphic Development System),undefined,undefined
265,isiMotor,undefined,undefined
1350,Motorola 68000,undefined,undefined
375,Abyss,undefined,undefined
1295,The Sims Engine,undefined,undefined
449,Turbine,undefined,undefined
